Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2014,S08000019,,65-74 years,,Males,,Coronary Heart Disease,47,,321.851674313497,,336.1811412850257
2014,S08000019,,65-74 years,,Females,,Coronary Heart Disease,23,,143.07041552625,,144.8072510938486
2014,S08000019,,75plus years,,Males,,Coronary Heart Disease,127,,1325.26348742565,,1441.6082783091404
2014,S08000019,,75plus years,,Females,,Coronary Heart Disease,120,,863.060989643268,,863.3521823902486
2014,S08000020,,0-44 years,,Males,,Coronary Heart Disease,8,,4.7923131297399,,5.095440691842283
2014,S08000020,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2014,S08000020,,45-64 years,,Males,,Coronary Heart Disease,73,,93.5873439142586,,94.73687621915158
2014,S08000020,,45-64 years,,Females,,Coronary Heart Disease,14,,17.8250849874588,,18.385287507901975
2014,S08000020,,65-74 years,,Males,,Coronary Heart Disease,100,,375.375375375375,,391.73911816866735
2014,S08000020,,65-74 years,,Females,,Coronary Heart Disease,29,,102.109080666174,,103.189280517702
2014,S08000020,,75plus years,,Males,,Coronary Heart Disease,232,,1286.10233383225,,1379.301987537482
2014,S08000020,,75plus years,,Females,,Coronary Heart Disease,246,,946.882217090069,,902.5048999834098
2014,S08000022,,0-44 years,,Males,,Coronary Heart Disease,4,,5.05216358905701,,5.5329156141543745
2014,S08000022,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2014,S08000022,,45-64 years,,Males,,Coronary Heart Disease,40,,85.3224120645891,,84.07523544021655
2014,S08000022,,45-64 years,,Females,,Coronary Heart Disease,14,,28.6491906603638,,28.21546442730228
2014,S08000022,,65-74 years,,Males,,Coronary Heart Disease,72,,377.65538945712,,391.1994899058365
2014,S08000022,,65-74 years,,Females,,Coronary Heart Disease,28,,139.075150250832,,143.35914888490734
2014,S08000022,,75plus years,,Males,,Coronary Heart Disease,143,,1158.36371000405,,1284.7784882632411
2014,S08000022,,75plus years,,Females,,Coronary Heart Disease,124,,704.225352112676,,681.3325652112958
2014,S08000024,,0-44 years,,Males,,Coronary Heart Disease,19,,7.60027360984995,,8.14320665160947
2014,S08000024,,0-44 years,,Females,,Coronary Heart Disease,3,,1.18563953396462,,1.1975547019520305
2014,S08000024,,45-64 years,,Males,,Coronary Heart Disease,97,,90.1043166470047,,92.91653995929312
2014,S08000024,,45-64 years,,Females,,Coronary Heart Disease,30,,26.9270814633971,,27.841855428113412
2014,S08000024,,65-74 years,,Males,,Coronary Heart Disease,127,,363.605130554283,,373.45718720316194
2014,S08000024,,65-74 years,,Females,,Coronary Heart Disease,35,,88.7626486774365,,89.17437538908644
2014,S08000024,,75plus years,,Males,,Coronary Heart Disease,308,,1256.37364878646,,1390.761733747576
2014,S08000024,,75plus years,,Females,,Coronary Heart Disease,317,,853.021904095582,,822.3620404407575
2014,S08000025,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2014,S08000025,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2014,S08000025,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,29.514071887846523
2014,S08000025,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,92.83602873534736
2014,S08000025,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,701.1344106718036
2014,S08000025,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,140.24351373748965
2014,S08000025,,75plus years,,Males,,Coronary Heart Disease,,c,,c,939.1093268931328
2014,S08000025,,75plus years,,Females,,Coronary Heart Disease,,c,,c,599.3783873756715
2014,S08000026,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2014,S08000026,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2014,S08000026,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,119.1113054587889
2014,S08000026,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,30.737220409514354
2014,S08000026,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,303.89264918288706
2014,S08000026,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,81.33688257911861
2014,S08000026,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1734.8308257399167
2014,S08000026,,75plus years,,Females,,Coronary Heart Disease,,c,,c,983.3292289275996
2014,S08000028,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2014,S08000028,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2014,S08000028,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,166.42200669080998
2014,S08000028,,45-64 years,,Females,,Coronary Heart Disease,0,,0,,0
2014,S08000028,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,169.4530540684387
2014,S08000028,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,112.9920800825812
2014,S08000028,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1681.4662369939635
2014,S08000028,,75plus years,,Females,,Coronary Heart Disease,,c,,c,759.3466118921398
2014,S08000029,,0-44 years,,Males,,Coronary Heart Disease,5,,5.2073027213364,,5.603286196824619
2014,S08000029,,0-44 years,,Females,,Coronary Heart Disease,2,,2.05366219310586,,2.039805344290002
2014,S08000029,,45-64 years,,Males,,Coronary Heart Disease,49,,97.8923184497053,,99.28673822005167
2014,S08000029,,45-64 years,,Females,,Coronary Heart Disease,23,,43.6333282743967,,43.92499444628285
2014,S08000029,,65-74 years,,Males,,Coronary Heart Disease,75,,390.137328339576,,402.5250413148238
2014,S08000029,,65-74 years,,Females,,Coronary Heart Disease,31,,147.310397262878,,151.5322908837615
2014,S08000029,,75plus years,,Males,,Coronary Heart Disease,145,,1149.51641033772,,1254.257128182574
2014,S08000029,,75plus years,,Females,,Coronary Heart Disease,106,,582.577631217367,,562.6076379996443
2014,S08000030,,0-44 years,,Males,,Coronary Heart Disease,4,,3.68280040142524,,4.325750460929642
2014,S08000030,,0-44 years,,Females,,Coronary Heart Disease,1,,0.923949700178322,,0.9786322635484648
2014,S08000030,,45-64 years,,Males,,Coronary Heart Disease,70,,126.931167041416,,127.06304746373216
2014,S08000030,,45-64 years,,Females,,Coronary Heart Disease,17,,29.3838043384323,,29.68198745602785
2014,S08000030,,65-74 years,,Males,,Coronary Heart Disease,69,,323.36676352048,,334.547805737895
2014,S08000030,,65-74 years,,Females,,Coronary Heart Disease,31,,131.42832916437,,134.81635848788034
2014,S08000030,,75plus years,,Males,,Coronary Heart Disease,203,,1286.92785596551,,1384.1092496765182
2014,S08000030,,75plus years,,Females,,Coronary Heart Disease,198,,851.466414380322,,800.1457320745793
2014,S08000031,,0-44 years,,Males,,Coronary Heart Disease,19,,5.85906181001838,,6.846137640662294
2014,S08000031,,0-44 years,,Females,,Coronary Heart Disease,11,,3.3787727068884,,3.682820560727505
2014,S08000031,,45-64 years,,Males,,Coronary Heart Disease,163,,111.002151943559,,114.86459919080416
2014,S08000031,,45-64 years,,Females,,Coronary Heart Disease,53,,33.3627093037895,,35.1019656311898
2014,S08000031,,65-74 years,,Males,,Coronary Heart Disease,191,,411.700040954454,,419.6197648815953
2014,S08000031,,65-74 years,,Females,,Coronary Heart Disease,91,,170.696479150644,,173.24900950390648
2014,S08000031,,75plus years,,Males,,Coronary Heart Disease,417,,1269.13595276501,,1399.5621556214785
2014,S08000031,,75plus years,,Females,,Coronary Heart Disease,446,,818.664072394868,,803.029299067968
2014,S08000032,,0-44 years,,Males,,Coronary Heart Disease,14,,7.92020954611542,,8.419745021489604
2014,S08000032,,0-44 years,,Females,,Coronary Heart Disease,4,,2.24387562197427,,2.4762055535512495
2014,S08000032,,45-64 years,,Males,,Coronary Heart Disease,100,,111.366015546696,,114.3135330599506
2014,S08000032,,45-64 years,,Females,,Coronary Heart Disease,45,,46.819889088885,,48.0254879644279
2014,S08000032,,65-74 years,,Males,,Coronary Heart Disease,128,,430.816869173034,,436.6330982167759
2014,S08000032,,65-74 years,,Females,,Coronary Heart Disease,55,,162.194043055146,,163.87694563021225
2014,S08000032,,75plus years,,Males,,Coronary Heart Disease,248,,1308.01687763713,,1464.207557070134
