Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2013,S12000034,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,336.3533947401299
2013,S12000034,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,130.0123806115031
2013,S12000034,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1228.8337085229832
2013,S12000034,,75plus years,,Females,,Coronary Heart Disease,,c,,c,998.2186886368372
2013,S12000035,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,6.2023746234272545
2013,S12000035,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000035,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,68.54449002259956
2013,S12000035,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,43.89475443524096
2013,S12000035,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,378.8199664488325
2013,S12000035,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,90.73751451800231
2013,S12000035,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1466.137070674068
2013,S12000035,,75plus years,,Females,,Coronary Heart Disease,,c,,c,1045.8734930126825
2013,S12000036,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,1.3464779098752746
2013,S12000036,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,0.7740468718554346
2013,S12000036,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,115.86256603559808
2013,S12000036,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,29.887390806859585
2013,S12000036,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,389.4178987887019
2013,S12000036,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,105.7582385200062
2013,S12000036,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1464.526547885822
2013,S12000036,,75plus years,,Females,,Coronary Heart Disease,,c,,c,824.2872502395098
2013,S12000038,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,2.258749427245681
2013,S12000038,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000038,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,116.37696876983988
